file_hash,job_name,job,SUGGESTED_WORKFLOW_TYPE,workflow_type,repository,LLM_LABEL,LLM_REASON,REFINED_LLM_LABEL,REFINEMENT_ITERATIONS,REFINEMENT_HISTORY
04e8eb65ebb244bfdce18f482301c4a5cc739cdcad2a9ebcc2859c84b1db70e1,test,"{runs-on: ubuntu-latest, steps: [{name: Checkout repository, uses: actions/checkout@v3},
    {name: 'Set up Python ${{ matrix.python-version }}', uses: actions/setup-python@v4,
      with: {cache: pip, python-version: '${{ matrix.python-version == ''3.12'' &&
          ''3.12.3'' || matrix.python-version }}'}}, {name: Check Python Version,
      run: python --version}, {name: Install dependencies, run: 'python -m pip install
        --upgrade pip

        pip install tox==4.15.0 poetry

        '}, {env: {OPENAI_API_KEY: '${{ secrets.OPENAI_API_KEY }}'}, name: Run tox,
      run: tox}], strategy: {matrix: {python-version: ['3.10', '3.11', '3.12']}}}
",['unknown'],test,AntonOsika__gpt-engineer,[test],Runs tox test suite across multiple Python versions to verify code functionality.,test,1.0,"[('[test]', '[STOP]\n\nThe classification is correct. The job runs tox (a testing framework) across multiple Python versions with test dependencies installed. The primary functional purpose is executing test suites, which clearly falls under the ""test"" category.')]"
24fbeb2eaafe191cda4d626104815a037e216834f345c0a9302c1d52e1c97f0f,pre-commit,"{permissions: {contents: write}, runs-on: ubuntu-latest, steps: [{uses: actions/checkout@v3},
    {uses: actions/setup-python@v4}, {uses: pre-commit/action@v3.0.0, with: {extra_args: --all-files}}]}
",['lint'],lint_security,AntonOsika__gpt-engineer,[lint_security],Runs pre-commit hooks for linting and code quality checks across all files.,lint_security,1.0,"[('[lint_security]', '[STOP]\n\nThe classification is correct. The job uses `pre-commit/action@v3.0.0` with `--all-files`, which is a linting/code quality tool that checks code style, formatting, and security issues. This clearly falls under the `lint_security` category.')]"
953a30775359908a4e420d0532b35d3c3517736afd745af591a8aa82e695ab36,mark-stale-issues,"{runs-on: ubuntu-latest, steps: [{name: Mark stale issues, uses: actions/stale@v4,
      with: {days-before-stale: 60, stale-issue-message: This issue has been automatically
          marked as stale because it has not had recent activity. It will be closed
          if no further activity occurs.}}]}
",['unknown'],no_ops,AntonOsika__gpt-engineer,[no_ops],Marks stale issues with automated labels; no functional impact on code or deployment.,no_ops,1.0,"[('[no_ops]', '[STOP]')]"
b49b58057bd39fccb7df78f7213d805bd534811a812b78b659219256fd74f513,build,"{runs-on: ubuntu-latest, steps: [{uses: actions/checkout@v3}, {uses: actions/setup-python@v4,
      with: {python-version: '${{ matrix.python-version }}'}}, {name: Install Poetry,
      run: 'curl -sSL https://install.python-poetry.org | python3 -

        '}, {name: Add Poetry to PATH, run: echo ""$HOME/.local/bin"" >> $GITHUB_PATH},
    {name: Set up Poetry cache, uses: actions/cache@v3, with: {key: '${{ runner.os
          }}-poetry-${{ hashFiles(''**/poetry.lock'') }}', path: ~/.cache/pypoetry,
        restore-keys: '${{ runner.os }}-poetry-

          '}}, {name: Install dependencies, run: poetry install}, {name: Build package,
      run: poetry build --format sdist}, {uses: actions/upload-artifact@v3, with: {
        name: package, path: dist/}}], strategy: {matrix: {python-version: ['3.10']}}}
",['build'],build,AntonOsika__gpt-engineer,[build],Installs Poetry dependencies and builds Python package distribution artifact (sdist).,build,1.0,"[('[build]', '[STOP]\n\nThe classification is correct. The job performs:\n1. Installing Poetry (dependency manager)\n2. Installing dependencies via `poetry install`\n3. Building the package with `poetry build --format sdist`\n4. Uploading the built artifact\n\nThese are all core build activities (compiling/packaging code and updating dependencies), which clearly fall under the ""build"" category.')]"
b49b58057bd39fccb7df78f7213d805bd534811a812b78b659219256fd74f513,publish,"{environment: {name: pypi, url: 'https://pypi.org/p/gpt-engineer'}, needs: build,
  permissions: {id-token: write}, runs-on: ubuntu-latest, steps: [{uses: actions/download-artifact@v3,
      with: {name: package, path: dist/}}, {name: Publish packages to PyPI, uses: pypa/gh-action-pypi-publish@release/v1,
      with: {password: '${{ secrets.PYPI_API_TOKEN }}'}}]}
",['build'],deploy_release,AntonOsika__gpt-engineer,[deploy_release],Downloads built package artifact and publishes to PyPI repository using authentication token.,deploy_release,1.0,"[('[deploy_release]', '[STOP]')]"
08902e730b8199fba694284d8392daac0b2310ad020dfd06fa37065e666b4ce1,clippy-test,"{runs-on: ubuntu-latest, steps: [{name: Checkout code, uses: actions/checkout@v4,
      with: {lfs: true, token: '${{ secrets.GITHUB_TOKEN }}'}}, {name: Install Rust
        stable, uses: dtolnay/rust-toolchain@stable, with: {components: 'rustfmt,
          clippy', toolchain: 1.73.0}}, {name: Install Tauri deps, run: ""sudo apt\
        \ update && \\\nsudo apt install libwebkit2gtk-4.0-dev \\\n  build-essential\
        \ \\\n  curl \\\n  wget \\\n  file \\\n  libssl-dev \\\n  libgtk-3-dev \\\n\
        \  libayatana-appindicator3-dev \\\n  librsvg2-dev\n""}, {continue-on-error: false,
      name: Set up cargo cache, uses: actions/cache@v3, with: {key: '${{ runner.os
          }}-cargo-${{ hashFiles(''**/Cargo.lock'') }}', path: ""~/.cargo/bin/\n~/.cargo/registry/index/\n\
          ~/.cargo/registry/cache/\n~/.cargo/git/db/\ntarget/            \n"", restore-keys: '${{
          runner.os }}-cargo-'}}, {name: Rustfmt, run: cargo --locked fmt -p bloop
        -- --check}, {name: Clippy, run: cargo --locked clippy -p bloop}, {name: Tests,
      run: cargo --locked test -p bloop --release}]}
",['unknown'],lint_security|test,BloopAI__bloop,[build|lint_security|test],"Installs dependencies and sets up Rust toolchain (build), runs rustfmt and clippy linting (lint_security), executes test suite (test).",build|lint_security|test,1.0,"[('[build|lint_security|test]', '[STOP]')]"
37b6bb9c0904d4a136da75fce3f6d7481158fd88e6403ab2dcd5b7f995a0a173,test,"{runs-on: ubuntu-latest, steps: [{run: 'echo ""No checks required"" '}]}
",['lint'],no_ops,BloopAI__bloop,[no_ops],Job only echoes a message with no functional impact or operations performed.,no_ops,1.0,"[('[no_ops]', '[STOP]')]"
37b6bb9c0904d4a136da75fce3f6d7481158fd88e6403ab2dcd5b7f995a0a173,fmt-clippy-build,"{runs-on: ubuntu-latest, steps: [{run: 'echo ""No checks required"" '}]}
",['lint'],no_ops,BloopAI__bloop,[no_ops],Job only echoes a message with no functional impact or operations performed.,no_ops,1.0,"[('[no_ops]', '[STOP]')]"
37b6bb9c0904d4a136da75fce3f6d7481158fd88e6403ab2dcd5b7f995a0a173,build-client,"{runs-on: ubuntu-latest, steps: [{name: Checkout, uses: actions/checkout@v4, with: {
        fetch-depth: 0}}, {name: Use Node.js, uses: actions/setup-node@v3, with: {
        cache: npm, node-version: 16}}, {name: Install dependencies, run: npm ci},
    {name: Run lint, run: npm run lint}, {name: Run type-check, run: npm run client-type-check},
    {name: Run tests, run: npm --prefix client run test}]}
",['lint'],lint_security|test,BloopAI__bloop,[lint_security|test],"Runs linting and type-checking (lint_security), executes test suite (test).",lint_security|test,1.0,"[('[lint_security|test]', 'ISSUE: The classification includes `lint_security` but the job does not perform security scanning, vulnerability checks, or policy enforcement—only code linting and type checking.\n\nSUGGESTION: The correct classification should be `[lint_security|test]` is partially correct, but should be refined to `[lint_security|test]` where `lint_security` applies only to the linting step (npm run lint), and `test` applies to both type-checking (npm run client-type-check) and test execution (npm --prefix client run test). However, if strict categorization is required, `lint_security` is acceptable since linting is included, but note that ""security"" aspect is not present—only ""lint"" is. The classification is marginally acceptable as-is since linting is a component of lint_security, but ideally should be labeled `[lint|test]` if a pure ""lint"" category existed.\n\nActually, reconsidering: the classification `[lint_security|test]` is **acceptable** because linting is a recognized component of the `lint_security` category per the rules, even without explicit security scanning.\n\n[STOP]')]"
5147a4948766bb4b952be4dd6b74f2a4acba2daa054479d6ee09dc002c0c5952,build-and-sign-tauri,"{env: {ORT_LIB_LOCATION: '${{ github.workspace }}/lib/${{ matrix.target }}/onnxruntime'},
  runs-on: '${{ matrix.name }}', steps: [{if: matrix.name == 'ubuntu-20.04', uses: pierotofy/set-swap-space@v1.0,
      with: {swap-size-gb: 10}}, {name: Checkout code, uses: actions/checkout@v4,
      with: {token: '${{ secrets.GITHUB_TOKEN }}'}}, {name: Create LFS file list,
      run: git lfs ls-files --long | cut -d ' ' -f1 | sort > .lfs-assets-id}, {name: LFS
        Cache, uses: actions/cache@v3, with: {key: '${{ runner.os }}-lfs-${{ hashFiles(''.lfs-assets-id'')
          }}', path: .git/lfs/objects, restore-keys: '${{ runner.os }}-lfs-

          '}}, {name: Git LFS Pull, run: git lfs install && git lfs pull}, {name: Install
        Protoc, uses: arduino/setup-protoc@v2, with: {repo-token: '${{ secrets.GITHUB_TOKEN
          }}'}}, {if: matrix.target == 'x86_64-unknown-linux-gnu', run: sudo apt-get
        update && sudo apt-get install -y libgtk-3-dev webkit2gtk-4.0 libappindicator3-dev
        librsvg2-dev patchelf}, {name: Use Node.js, uses: actions/setup-node@v3, with: {
        cache: npm, node-version: 16}}, {name: Install app dependencies, run: npm
        ci}, {name: Install Rust stable, uses: dtolnay/rust-toolchain@stable, with: {
        target: '${{ matrix.target }}', toolchain: 1.73.0}}, {env: {analytics_fe_key: '${{
          secrets.ANALYTICS_FE_WRITE_KEY_PROD }}', analytics_key: '${{ secrets.ANALYTICS_BE_WRITE_KEY_PROD
          }}', sentry_dsn: '${{ secrets.SENTRY_DSN_BE }}', sentry_dsn_fe: '${{ secrets.SENTRY_DSN_FE
          }}'}, if: '${{ env.analytics_fe_key == '''' || env.sentry_dsn_fe == ''''
        || env.analytics_key == '''' || env.sentry_dsn == ''''}}', name: Check if
        keys exist, run: exit 1}, {name: Set environment, run: 'echo ""{\""analytics_key\"":\""${{
        secrets.ANALYTICS_BE_WRITE_KEY_PROD }}\"",\""analytics_data_plane\"":\""${{ secrets.ANALYTICS_DATA_PLANE_URL
        }}\"",\""sentry_dsn_fe\"":\""${{ secrets.SENTRY_DSN_FE }}\"",\""sentry_dsn\"":\""${{
        secrets.SENTRY_DSN_BE }}\"",\""analytics_key_fe\"":\""${{ secrets.ANALYTICS_FE_WRITE_KEY_PROD
        }}\"",\""answer_api_url\"":\""${{ secrets.ANSWER_API_URL }}\"",\""cognito_userpool_id\"":\""${{
        secrets.COGNITO_USERPOOL_ID }}\"",\""cognito_client_id\"":\""${{ secrets.COGNITO_CLIENT_ID
        }}\"",\""cognito_auth_url\"":\""${{ secrets.COGNITO_AUTH_URL }}\"",\""cognito_mgmt_url\"":\""${{
        secrets.COGNITO_MGMT_URL }}\"",\""cognito_config_url\"":\""${{ secrets.COGNITO_CONFIG_URL
        }}\""}"" > apps/desktop/src-tauri/config/config.json'}, {name: Check environment
        is set, run: du -h apps/desktop/src-tauri/config/config.json}, {name: Set
        providerShortName in tauri.conf.json, uses: jossef/action-set-json-field@v2.1,
      with: {field: tauri.bundle.macOS.providerShortName, file: apps/desktop/src-tauri/tauri.conf.json,
        value: '${{ secrets.MAC_PROVIDER_SHORT_NAME }}'}}, {name: Set signingIdentity
        in tauri.conf.json, uses: jossef/action-set-json-field@v2.1, with: {field: tauri.bundle.macOS.signingIdentity,
        file: apps/desktop/src-tauri/tauri.conf.json, value: '${{ secrets.APPLE_SIGNING_IDENTITY
          }}'}}, {if: matrix.name == 'macos-11', name: Create Signing API Key, run: 'echo
        ""${{ secrets.APPLE_API_KEY_CONTENT }}"" > apiKey.p8'}, {if: matrix.target ==
        'aarch64-apple-darwin', name: Remove onnxruntime from aarch64-apple-darwin
        builds, uses: jossef/action-set-json-field@v2.1, with: {field: tauri.bundle.macOS.frameworks,
        file: apps/desktop/src-tauri/tauri.conf.json, parse_json: true, value: '[]'}},
    {id: release-version, name: get release version, run: echo ""RELEASE_VERSION=$(cat
        apps/desktop/src-tauri/tauri.conf.json | jq '.package.version' | tr -d '""')""
        >> ""$GITHUB_OUTPUT""}, {env: {APPLE_API_ISSUER: '${{ secrets.APPLE_API_ISSUER
          }}', APPLE_API_KEY: '${{ secrets.APPLE_API_KEY }}', APPLE_API_KEY_PATH: /Users/runner/work/bloop/bloop/apiKey.p8,
        APPLE_CERTIFICATE: '${{ secrets.APPLE_CERTIFICATE }}', APPLE_CERTIFICATE_PASSWORD: '${{
          secrets.APPLE_CERTIFICATE_PASSWORD }}', APPLE_SIGNING_IDENTITY: '${{ secrets.APPLE_SIGNING_IDENTITY
          }}', ENABLE_CODE_SIGNING: '${{ secrets.APPLE_CERTIFICATE }}', GITHUB_TOKEN: '${{
          secrets.GITHUB_TOKEN }}', NODE_OPTIONS: --max-old-space-size=4096, ORT_LIB_LOCATION: '${{
          github.workspace }}/lib/${{ matrix.target }}/onnxruntime', SENTRY_AUTH_TOKEN: '${{
          secrets.SENTRY_AUTH_TOKEN }}', SENTRY_RELEASE_VERSION: '${{ steps.release-version.outputs.RELEASE_VERSION
          }}', TAURI_BIN_PATH: apps/desktop/src-tauri/bin, TAURI_KEY_PASSWORD: '${{
          secrets.TAURI_KEY_PASSWORD }}', TAURI_PRIVATE_KEY: '${{ secrets.TAURI_PRIVATE_KEY
          }}'}, uses: tauri-apps/tauri-action@cb58ba3f65bd456ee564376585a8400bf0b71f47,
      with: {args: '-- --target ""${{ matrix.target }}"" -v'}}, {name: Upload artifacts,
      uses: actions/upload-artifact@v3, with: {name: '${{ matrix.target }}-app', path: 'target/${{
          matrix.target }}/release/bundle', retention-days: 5}}, {name: Setup Sentry
        CLI, uses: mathieu-bour/setup-sentry-cli@v1.3.0, with: {organization: '${{
          secrets.SENTRY_ORG }}', project: '${{ secrets.SENTRY_PROJECT }}', token: '${{
          secrets.SENTRY_AUTH_TOKEN }}', version: 2.21.2}}, {name: Create Sentry release,
      run: 'sentry-cli releases new ""${{ steps.release-version.outputs.RELEASE_VERSION
        }}""

        sentry-cli releases set-commits ""${{ steps.release-version.outputs.RELEASE_VERSION
        }}"" --auto

        '}, {if: matrix.name == 'macos-11', name: (MacOS) Upload source maps to Sentry,
      run: 'sentry-cli debug-files upload \

        --log-level debug \

        --include-sources \

        target/${{ matrix.target }}/release/bloop.dSYM

        '}, {if: matrix.name == 'macos-11', name: Rename tar.gz in macos, run: 'new_filename=""bloop_${{
        steps.release-version.outputs.RELEASE_VERSION }}_$(echo ${{ matrix.target
        }} | cut -d ''-'' -f 1).app.tar.gz""

        mv ""target/${{ matrix.target }}/release/bundle/macos/bloop.app.tar.gz"" ""target/${{
        matrix.target }}/release/bundle/macos/${new_filename}""

        '}, {name: List files, run: 'ls -R target/${{ matrix.target }}/release/bundle'},
    {name: Generate Changelog, run: 'release_version=""${{ steps.release-version.outputs.RELEASE_VERSION
        }}""

        sed ""s/VERSION/${release_version}/g"" release_description_template.txt > new_description.txt

        cat new_description.txt

        '}, {if: 'startsWith(github.ref, ''refs/tags/v'')', name: Upload release assets,
      uses: softprops/action-gh-release@v1, with: {files: 'target/${{ matrix.target
          }}/release/bundle/deb/*.deb

          target/${{ matrix.target }}/release/bundle/appimage/*.AppImage

          target/${{ matrix.target }}/release/bundle/appimage/*.tar.gz

          target/${{ matrix.target }}/release/bundle/dmg/*.dmg

          target/${{ matrix.target }}/release/bundle/macos/*.tar.gz

          '}}], strategy: {fail-fast: false, matrix: {include: [{name: ubuntu-20.04,
          target: x86_64-unknown-linux-gnu}, {name: macos-11, target: x86_64-apple-darwin},
        {name: macos-11, target: aarch64-apple-darwin}], target: [x86_64-unknown-linux-gnu,
        x86_64-apple-darwin, aarch64-apple-darwin]}}}
","['build', 'release']",build|deploy_release,BloopAI__bloop,[build|deploy_release],"Compiles Rust/Node.js application with Tauri, uploads artifacts, creates Sentry release, and publishes GitHub release assets on tags.",build | deploy_release,2.0,"[('[build|deploy_release]', 'ISSUE: The classification is incomplete and misses a critical category.\n\nSUGGESTION: The classification should be [build|deploy_release|lint_security].\n\nREASONING:\n1. **build** is correct: The job compiles code, installs dependencies (npm ci, Rust toolchain), and builds artifacts using tauri-action.\n2. **deploy_release** is correct: The job uploads release assets to GitHub Releases via softprops/action-gh-release (conditional on tag refs).\n3. **lint_security is missing**: The job explicitly checks for required secrets/keys with `exit 1` if they\'re missing (the ""Check if keys exist"" step). This is a security/policy validation step that should be classified as lint_security, as it verifies configuration requirements before proceeding.'), ('[build | deploy_release | lint_security]\nReason: Compiles code, builds artifacts via tauri-action, uploads to GitHub Releases, and validates required secrets/keys before proceeding.', 'ISSUE: The classification includes `lint_security` but the job contains no linting, vulnerability scanning, dependency upgrades, or security policy checks. The secret validation step (""Check if keys exist"") is a prerequisite check, not a security audit.\n\nSUGGESTION: The correct classification should be `[build | deploy_release]`. The job compiles code (Rust/Node.js via tauri-action), builds artifacts (bundles for Linux/macOS), and deploys to GitHub Releases (softprops/action-gh-release with conditional tag-based upload). The secret validation is part of the build setup, not a distinct security operation.')]"
