repo,repo_dir,workflow_files,yaml_like_files,yaml_like_ratio,total_jobs,avg_jobs_per_workflow,unique_events_count,events_json,unique_runner_count,runner_labels_json,has_matrix,has_workflow_dispatch,has_schedule,has_workflow_call,uses_reusable_workflow,unique_actions_count,sample_actions_json,if_per_workflow,needs_per_workflow,uses_per_workflow,external_action_ratio,local_action_ratio,unique_external_actions_count,complexity_score_mccabe_like,glue_code_score,maintainability_risk_score
continuedev/continue,continuedev__continue,629,629,1.0,2498,3.9714,12,"[""create"", ""issue_comment"", ""issues"", ""pull_request"", ""pull_request_review_comment"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch"", ""workflow_run""]",8,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ matrix.os }}"", ""${{ matrix.runner }}"", ""macos-13"", ""macos-latest"", ""ubuntu-20.04"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,118,"[""./.github/actions/build-vscode-extension"", ""./.github/actions/check-llm-changes"", ""./.github/actions/run-jetbrains-tests"", ""./.github/actions/run-vscode-e2e-test"", ""./.github/actions/setup-component"", ""./.github/actions/setup-packages"", ""./.github/actions/track-rerun"", ""./.github/workflows/build-vscode-extension.yml"", ""./.github/workflows/reusable-release.yml"", ""./.github/workflows/run-continue-agent.yml""]",4.9094,2.4308,10.8378,0.9234,0.0766,108,71.81,74.32,71.42
calcom/cal.com,calcom__cal.com,960,960,1.0,2832,2.95,12,"[""delete"", ""issues"", ""merge_group"", ""pull_request"", ""pull_request_review"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch"", ""workflow_run""]",9,"[""${{ matrix.os }}"", ""blacksmith-2vcpu-ubuntu-2404"", ""blacksmith-4vcpu-ubuntu-2404"", ""buildjet-16vcpu-ubuntu-2204"", ""buildjet-2vcpu-ubuntu-2204"", ""buildjet-4vcpu-ubuntu-2204"", ""buildjet-8vcpu-ubuntu-2204"", ""ubuntu-24.04-arm"", ""ubuntu-latest""]",True,True,True,True,True,93,"[""\""actions/github-script@v6\"""", ""\""alstr/todo-to-issue-action@v4\"""", ""./.github/actions/cache-build-key"", ""./.github/actions/cache-checkout"", ""./.github/actions/cache-db-key"", ""./.github/actions/devin-session"", ""./.github/actions/docker-build-and-test"", ""./.github/actions/yarn-install"", ""./.github/workflows/api-v1-production-build.yml"", ""./.github/workflows/api-v2-production-build.yml""]",2.6677,1.7833,3.4677,0.4872,0.5128,53,58.53,53.51,65.07
OpenDevin/OpenDevin,OpenDevin__OpenDevin,528,528,1.0,1561,2.9564,11,"[""issue_comment"", ""issues"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch""]",14,"[""${{ inputs.runner || 'ubuntu-latest' }}"", ""${{ inputs.runner }}"", ""${{ matrix.os }}"", ""blacksmith"", ""blacksmith-4vcpu-ubuntu-2204"", ""blacksmith-4vcpu-ubuntu-2404"", ""blacksmith-8vcpu-ubuntu-2204"", ""macos-12"", ""macos-13"", ""macos-14"", ""macos-latest"", ""ubuntu-24.04"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,73,"[""'google-github-actions/auth@v2'"", ""'google-github-actions/upload-cloud-storage@v2'"", ""./.github/workflows/ghcr-runtime-reusable.yml"", ""All-Hands-AI/openhands-resolver/.github/workflows/openhands-resolver.yml@main"", ""KeisukeYamashita/create-comment@v1"", ""Mattraks/delete-workflow-runs@v2"", ""OpenHands/extensions/plugins/pr-review@main"", ""OpenHands/software-agent-sdk/.github/actions/pr-review@main"", ""abatilo/actions-poetry@v3"", ""abatilo/actions-poetry@v4""]",3.4375,1.4735,8.7765,0.9994,0.0006,72,60.64,61.94,59.96
Significant-Gravitas/Auto-GPT,Significant-Gravitas__Auto-GPT,538,538,1.0,895,1.6636,12,"[""issue_comment"", ""issues"", ""merge_group"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch"", ""workflow_run""]",6,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ matrix.platform-os != 'macos-arm64' && format('{0}-latest"", ""${{ matrix.platform-os }}-latest"", ""big-boi"", ""matrix.platform-os) || 'macos-14' }}"", ""ubuntu-latest""]",True,True,True,False,True,79,"[""'google-github-actions/auth@v1'"", ""'google-github-actions/auth@v2'"", ""'google-github-actions/get-gke-credentials@v1'"", ""'google-github-actions/get-gke-credentials@v2'"", ""'google-github-actions/setup-gcloud@v1'"", ""'google-github-actions/setup-gcloud@v2'"", ""JamesIves/github-pages-deploy-action@v4"", ""JamesIves/github-sponsors-readme-action@v1"", ""actions/cache@v2"", ""actions/cache@v3""]",2.4944,0.2862,5.2379,1.0,0.0,79,39.08,56.38,48.52
HumanSignal/Adala,HumanSignal__Adala,324,324,1.0,535,1.6512,10,"[""issue_comment"", ""merge_group"", ""pull_request"", ""pull_request_target"", ""push"", ""release"", ""repository_dispatch"", ""schedule"", ""workflow_call"", ""workflow_dispatch""]",6,"[""${{ matrix.os }}"", ""${{ matrix.runner }}"", ""hs-dev-runner"", ""ubuntu-22.04"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,134,"[""./.github/actions-hub/actions/argocd-app-create"", ""./.github/actions-hub/actions/argocd-app-delete"", ""./.github/actions-hub/actions/argocd-app-scaledown"", ""./.github/actions-hub/actions/argocd-app-wait"", ""./.github/actions-hub/actions/follow-merge-dispatch"", ""./.github/actions-hub/actions/follow-merge-find-or-create-pull-request"", ""./.github/actions-hub/actions/follow-merge-parse-payload"", ""./.github/actions-hub/actions/follow-merge-upstream-prs"", ""./.github/actions-hub/actions/git-configure"", ""./.github/actions-hub/actions/git-merge""]",1.8457,0.3056,5.3981,0.8027,0.1973,107,35.47,71.61,47.76
microsoft/autogen,microsoft__autogen,333,333,1.0,1450,4.3544,10,"[""issue_comment"", ""issues"", ""merge_group"", ""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch""]",4,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ matrix.os }}"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,21,"[""./.github/workflows/dotnet-build-test-packages.yml"", ""UnicornGlobal/has-changes-action@v1.0.11"", ""actions/cache@v3"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/deploy-pages@v4"", ""actions/github-script@v6"", ""actions/setup-dotnet@v3"", ""actions/setup-dotnet@v4"", ""actions/setup-python@v4""]",2.2943,0.5766,6.7718,0.9996,0.0004,20,52.56,45.58,46.53
airtai/fastagency,airtai__fastagency,67,67,1.0,328,4.8955,7,"[""pull_request"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch"", ""workflow_run""]",6,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ inputs.platform }}"", ""macos-latest"", ""ubuntu-22.04"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,18,"[""./.github/workflows/test-playwright.yaml"", ""./.github/workflows/test.yaml"", ""actions/checkout@v4"", ""actions/dependency-review-action@v4"", ""actions/download-artifact@v4"", ""actions/setup-python@v5"", ""actions/upload-artifact@v4"", ""codecov/codecov-action@v4"", ""codecov/codecov-action@v5"", ""github/codeql-action/analyze@v3""]",3.0299,1.5821,5.2239,0.5886,0.4114,16,61.03,39.4,42.63
homanp/superagent,homanp__superagent,35,35,1.0,127,3.6286,7,"[""issue_comment"", ""issues"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""push"", ""workflow_dispatch""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,True,False,False,True,16,"[""actions-rs/toolchain@v1"", ""actions/cache@v3"", ""actions/checkout@v4"", ""actions/download-artifact@v3"", ""actions/download-artifact@v4"", ""actions/setup-node@v4"", ""actions/setup-python@v5"", ""actions/upload-artifact@v3"", ""actions/upload-artifact@v4"", ""anthropics/claude-code-action@v1""]",2.0286,2.4571,6.4286,1.0,0.0,16,53.93,39.04,38.65
e2b-dev/e2b,e2b-dev__e2b,204,204,1.0,417,2.0441,5,"[""pull_request"", ""push"", ""schedule"", ""workflow_call"", ""workflow_dispatch""]",4,"[""${{ matrix.os }}"", ""ubuntu-20.04"", ""ubuntu-22.04"", ""ubuntu-latest""]",True,True,True,True,True,39,"[""./.github/workflows/build_docs_sandbox_template.yml"", ""./.github/workflows/cli-tests.yml"", ""./.github/workflows/cli_tests.yml"", ""./.github/workflows/js-sdk-tests.yml"", ""./.github/workflows/js_sdk_tests.yml"", ""./.github/workflows/publish_candidates.yml"", ""./.github/workflows/publish_packages.yml"", ""./.github/workflows/python-sdk-tests.yml"", ""./.github/workflows/python_sdk_tests.yml"", ""actions/cache@v3""]",2.0196,1.0049,5.652,0.8942,0.1058,30,34.61,47.83,36.55
zabirauf/AutoGPT.js,zabirauf__AutoGPT.js,1,1,1.0,6,6.0,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,11,"[""SebRollen/toml-action@v1.0.2"", ""actions/cache@v3"", ""actions/checkout@v3"", ""actions/setup-node@v3"", ""bahmutov/npm-install@v1"", ""cypress-io/github-action@v5"", ""docker/build-push-action@v4"", ""docker/login-action@v2"", ""docker/setup-buildx-action@v2"", ""styfle/cancel-workflow-action@0.11.0""]",4.0,1.0,29.0,1.0,0.0,11,44.47,43.17,35.12
