repo,repo_dir,workflow_files,yaml_like_files,yaml_like_ratio,total_jobs,avg_jobs_per_workflow,unique_events_count,events_json,unique_runner_count,runner_labels_json,has_matrix,has_workflow_dispatch,has_schedule,has_workflow_call,uses_reusable_workflow,unique_actions_count,sample_actions_json,repo_description
calcom/cal.com,calcom__cal.com,960,960,1.0,2832,2.95,12,"[""delete"", ""issues"", ""merge_group"", ""pull_request"", ""pull_request_review"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch"", ""workflow_run""]",9,"[""${{ matrix.os }}"", ""blacksmith-2vcpu-ubuntu-2404"", ""blacksmith-4vcpu-ubuntu-2404"", ""buildjet-16vcpu-ubuntu-2204"", ""buildjet-2vcpu-ubuntu-2204"", ""buildjet-4vcpu-ubuntu-2204"", ""buildjet-8vcpu-ubuntu-2204"", ""ubuntu-24.04-arm"", ""ubuntu-latest""]",True,True,True,True,True,93,"[""\""actions/github-script@v6\"""", ""\""alstr/todo-to-issue-action@v4\"""", ""./.github/actions/cache-build-key"", ""./.github/actions/cache-checkout"", ""./.github/actions/cache-db-key"", ""./.github/actions/devin-session"", ""./.github/actions/docker-build-and-test"", ""./.github/actions/yarn-install"", ""./.github/workflows/api-v1-production-build.yml"", ""./.github/workflows/api-v2-production-build.yml""]","calcom/cal.com ha 960 workflow (960 YAML-like), con 2832 job totali e media 2.95 job/workflow. Trigger principali: delete, issues, merge_group, pull_request. Runner principali: ${{ matrix.os }}, blacksmith-2vcpu-ubuntu-2404, blacksmith-4vcpu-ubuntu-2404. Matrix: si, workflow riusabili ricevuti (workflow_call): si, riuso di workflow esterni/interni: si."
continuedev/continue,continuedev__continue,629,629,1.0,2498,3.9714,12,"[""create"", ""issue_comment"", ""issues"", ""pull_request"", ""pull_request_review_comment"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch"", ""workflow_run""]",8,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ matrix.os }}"", ""${{ matrix.runner }}"", ""macos-13"", ""macos-latest"", ""ubuntu-20.04"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,118,"[""./.github/actions/build-vscode-extension"", ""./.github/actions/check-llm-changes"", ""./.github/actions/run-jetbrains-tests"", ""./.github/actions/run-vscode-e2e-test"", ""./.github/actions/setup-component"", ""./.github/actions/setup-packages"", ""./.github/actions/track-rerun"", ""./.github/workflows/build-vscode-extension.yml"", ""./.github/workflows/reusable-release.yml"", ""./.github/workflows/run-continue-agent.yml""]","continuedev/continue ha 629 workflow (629 YAML-like), con 2498 job totali e media 3.9714 job/workflow. Trigger principali: create, issue_comment, issues, pull_request. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, ${{ matrix.os }}, ${{ matrix.runner }}. Matrix: si, workflow riusabili ricevuti (workflow_call): si, riuso di workflow esterni/interni: si."
Significant-Gravitas/Auto-GPT,Significant-Gravitas__Auto-GPT,538,538,1.0,895,1.6636,12,"[""issue_comment"", ""issues"", ""merge_group"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch"", ""workflow_run""]",6,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ matrix.platform-os != 'macos-arm64' && format('{0}-latest"", ""${{ matrix.platform-os }}-latest"", ""big-boi"", ""matrix.platform-os) || 'macos-14' }}"", ""ubuntu-latest""]",True,True,True,False,True,79,"[""'google-github-actions/auth@v1'"", ""'google-github-actions/auth@v2'"", ""'google-github-actions/get-gke-credentials@v1'"", ""'google-github-actions/get-gke-credentials@v2'"", ""'google-github-actions/setup-gcloud@v1'"", ""'google-github-actions/setup-gcloud@v2'"", ""JamesIves/github-pages-deploy-action@v4"", ""JamesIves/github-sponsors-readme-action@v1"", ""actions/cache@v2"", ""actions/cache@v3""]","Significant-Gravitas/Auto-GPT ha 538 workflow (538 YAML-like), con 895 job totali e media 1.6636 job/workflow. Trigger principali: issue_comment, issues, merge_group, pull_request. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, ${{ matrix.platform-os != 'macos-arm64' && format('{0}-latest, ${{ matrix.platform-os }}-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
OpenDevin/OpenDevin,OpenDevin__OpenDevin,528,528,1.0,1561,2.9564,11,"[""issue_comment"", ""issues"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch""]",14,"[""${{ inputs.runner || 'ubuntu-latest' }}"", ""${{ inputs.runner }}"", ""${{ matrix.os }}"", ""blacksmith"", ""blacksmith-4vcpu-ubuntu-2204"", ""blacksmith-4vcpu-ubuntu-2404"", ""blacksmith-8vcpu-ubuntu-2204"", ""macos-12"", ""macos-13"", ""macos-14"", ""macos-latest"", ""ubuntu-24.04"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,73,"[""'google-github-actions/auth@v2'"", ""'google-github-actions/upload-cloud-storage@v2'"", ""./.github/workflows/ghcr-runtime-reusable.yml"", ""All-Hands-AI/openhands-resolver/.github/workflows/openhands-resolver.yml@main"", ""KeisukeYamashita/create-comment@v1"", ""Mattraks/delete-workflow-runs@v2"", ""OpenHands/extensions/plugins/pr-review@main"", ""OpenHands/software-agent-sdk/.github/actions/pr-review@main"", ""abatilo/actions-poetry@v3"", ""abatilo/actions-poetry@v4""]","OpenDevin/OpenDevin ha 528 workflow (528 YAML-like), con 1561 job totali e media 2.9564 job/workflow. Trigger principali: issue_comment, issues, pull_request, pull_request_review. Runner principali: ${{ inputs.runner || 'ubuntu-latest' }}, ${{ inputs.runner }}, ${{ matrix.os }}. Matrix: si, workflow riusabili ricevuti (workflow_call): si, riuso di workflow esterni/interni: si."
microsoft/autogen,microsoft__autogen,333,333,1.0,1450,4.3544,10,"[""issue_comment"", ""issues"", ""merge_group"", ""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch""]",4,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ matrix.os }}"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,21,"[""./.github/workflows/dotnet-build-test-packages.yml"", ""UnicornGlobal/has-changes-action@v1.0.11"", ""actions/cache@v3"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/deploy-pages@v4"", ""actions/github-script@v6"", ""actions/setup-dotnet@v3"", ""actions/setup-dotnet@v4"", ""actions/setup-python@v4""]","microsoft/autogen ha 333 workflow (333 YAML-like), con 1450 job totali e media 4.3544 job/workflow. Trigger principali: issue_comment, issues, merge_group, pull_request. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): si, riuso di workflow esterni/interni: si."
HumanSignal/Adala,HumanSignal__Adala,324,324,1.0,535,1.6512,10,"[""issue_comment"", ""merge_group"", ""pull_request"", ""pull_request_target"", ""push"", ""release"", ""repository_dispatch"", ""schedule"", ""workflow_call"", ""workflow_dispatch""]",6,"[""${{ matrix.os }}"", ""${{ matrix.runner }}"", ""hs-dev-runner"", ""ubuntu-22.04"", ""ubuntu-latest"", ""windows-latest""]",True,True,True,True,True,134,"[""./.github/actions-hub/actions/argocd-app-create"", ""./.github/actions-hub/actions/argocd-app-delete"", ""./.github/actions-hub/actions/argocd-app-scaledown"", ""./.github/actions-hub/actions/argocd-app-wait"", ""./.github/actions-hub/actions/follow-merge-dispatch"", ""./.github/actions-hub/actions/follow-merge-find-or-create-pull-request"", ""./.github/actions-hub/actions/follow-merge-parse-payload"", ""./.github/actions-hub/actions/follow-merge-upstream-prs"", ""./.github/actions-hub/actions/git-configure"", ""./.github/actions-hub/actions/git-merge""]","HumanSignal/Adala ha 324 workflow (324 YAML-like), con 535 job totali e media 1.6512 job/workflow. Trigger principali: issue_comment, merge_group, pull_request, pull_request_target. Runner principali: ${{ matrix.os }}, ${{ matrix.runner }}, hs-dev-runner. Matrix: si, workflow riusabili ricevuti (workflow_call): si, riuso di workflow esterni/interni: si."
cpacker/MemGPT,cpacker__MemGPT,298,298,1.0,345,1.1577,9,"[""issue_comment"", ""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_call"", ""workflow_dispatch"", ""workflow_run""]",5,"[""${{ fromJSON(inputs.runner) }}"", ""medium"", ""self-hosted"", ""small"", ""ubuntu-latest""]",True,True,True,True,True,37,"[""./.github/workflows/reusable-test-workflow.yml"", ""JRubics/poetry-publish@v1.17"", ""actions/cache/restore@v4"", ""actions/cache/save@v4"", ""actions/cache@v4"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/configure-pages@v3"", ""actions/create-github-app-token@v1""]","cpacker/MemGPT ha 298 workflow (298 YAML-like), con 345 job totali e media 1.1577 job/workflow. Trigger principali: issue_comment, pull_request, pull_request_target, push. Runner principali: ${{ fromJSON(inputs.runner) }}, medium, self-hosted. Matrix: si, workflow riusabili ricevuti (workflow_call): si, riuso di workflow esterni/interni: si."
camel-ai/camel,camel-ai__camel,239,239,1.0,413,1.728,7,"[""branch_protection_rule"", ""merge_group"", ""pull_request"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",2,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""ubuntu-latest""]",True,True,True,False,True,56,"[""./.github/actions/camel_install"", ""JRubics/poetry-publish@v1.17"", ""JRubics/poetry-publish@v2.0"", ""abatilo/actions-poetry@v2"", ""actions/checkout@11bd71901bbe5b1630ceea73d27597364c9af683"", ""actions/checkout@34e114876b0b11c390a56381ad16ebd13914f8d5"", ""actions/checkout@8e8c483db84b4bee98b60c0593521ed34d9990e8"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/create-release@v1""]","camel-ai/camel ha 239 workflow (239 YAML-like), con 413 job totali e media 1.728 job/workflow. Trigger principali: branch_protection_rule, merge_group, pull_request, push. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
e2b-dev/e2b,e2b-dev__e2b,204,204,1.0,417,2.0441,5,"[""pull_request"", ""push"", ""schedule"", ""workflow_call"", ""workflow_dispatch""]",4,"[""${{ matrix.os }}"", ""ubuntu-20.04"", ""ubuntu-22.04"", ""ubuntu-latest""]",True,True,True,True,True,39,"[""./.github/workflows/build_docs_sandbox_template.yml"", ""./.github/workflows/cli-tests.yml"", ""./.github/workflows/cli_tests.yml"", ""./.github/workflows/js-sdk-tests.yml"", ""./.github/workflows/js_sdk_tests.yml"", ""./.github/workflows/publish_candidates.yml"", ""./.github/workflows/publish_packages.yml"", ""./.github/workflows/python-sdk-tests.yml"", ""./.github/workflows/python_sdk_tests.yml"", ""actions/cache@v3""]","e2b-dev/e2b ha 204 workflow (204 YAML-like), con 417 job totali e media 2.0441 job/workflow. Trigger principali: pull_request, push, schedule, workflow_call. Runner principali: ${{ matrix.os }}, ubuntu-20.04, ubuntu-22.04. Matrix: si, workflow riusabili ricevuti (workflow_call): si, riuso di workflow esterni/interni: si."
eidolon-ai/eidolon,eidolon-ai__eidolon,200,200,1.0,440,2.2,7,"[""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch"", ""workflow_run""]",1,"[""ubuntu-latest""]",True,True,True,False,False,26,"[""KengoTODA/actions-setup-docker-compose@v1"", ""actions-cool/check-user-permission@v2"", ""actions/cache@v2"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/deploy-pages@v1"", ""actions/deploy-pages@v4"", ""actions/posthog-github-action"", ""actions/posthog-github-action@v1"", ""actions/setup-go@v5""]","eidolon-ai/eidolon ha 200 workflow (200 YAML-like), con 440 job totali e media 2.2 job/workflow. Trigger principali: pull_request, pull_request_target, push, release. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
